Region,Month,Y,time,treated,DID,NYHPI,lnY
Tremont,1/31/14,330287,0,1,0,560.89,12.70771725
Tremont,2/28/14,330670,0,1,0,560.89,12.70887618
Tremont,3/31/14,331483,0,1,0,560.89,12.71133181
Tremont,4/30/14,331971,0,1,0,566.5,12.71280289
Tremont,5/31/14,332009,0,1,0,566.5,12.71291736
Tremont,6/30/14,332288,0,1,0,566.5,12.71375734
Tremont,7/31/14,333929,0,1,0,574.93,12.71868367
Tremont,8/31/14,334239,0,1,0,574.93,12.71961158
Tremont,9/30/14,332756,0,1,0,574.93,12.71516477
Tremont,10/31/14,329277,0,1,0,578.17,12.70465462
Tremont,11/30/14,323687,0,1,0,578.17,12.68753228
Tremont,12/31/14,317080,0,1,0,578.17,12.66690939
Tremont,1/31/15,317976,0,1,0,583.66,12.66973119
Tremont,2/28/15,321576,0,1,0,583.66,12.68098919
Tremont,3/31/15,327787,0,1,0,583.66,12.70011929
Tremont,4/30/15,330914,0,1,0,588.35,12.7096138
Tremont,5/31/15,333412,0,1,0,588.35,12.71713424
Tremont,6/30/15,337440,0,1,0,588.35,12.729143
Tremont,7/31/15,342251,0,1,0,593.52,12.74329966
Tremont,8/31/15,344095,0,1,0,593.52,12.74867306
Tremont,9/30/15,347013,0,1,0,593.52,12.75711752
Tremont,10/31/15,346006,0,1,0,594.33,12.75421139
Tremont,11/30/15,350639,0,1,0,594.33,12.76751248
Tremont,12/31/15,356764,0,1,0,594.33,12.78482978
Tremont,1/31/16,359005,0,1,0,597.55,12.79109159
Tremont,2/29/16,359434,0,1,0,597.55,12.79228585
Tremont,3/31/16,358406,0,1,0,597.55,12.7894217
Tremont,4/30/16,362803,0,1,0,607.1,12.80161527
Tremont,5/31/16,368643,0,1,0,607.1,12.81758398
Tremont,6/30/16,376511,0,1,0,607.1,12.83870254
Tremont,7/31/16,382470,0,1,0,615.42,12.8544055
Tremont,8/31/16,387350,0,1,0,615.42,12.86708396
Tremont,9/30/16,389336,0,1,0,615.42,12.872198
Tremont,10/31/16,392695,0,1,0,620.86,12.88078851
Tremont,11/30/16,393310,0,1,0,620.86,12.88235338
Tremont,12/31/16,396199,0,1,0,620.86,12.88967189
Tremont,1/31/17,394639,0,1,0,622.68,12.8857267
Tremont,2/28/17,396886,0,1,0,622.68,12.89140436
Tremont,3/31/17,392785,0,1,0,622.68,12.88101767
Tremont,4/30/17,387789,0,1,0,632.98,12.86821666
Tremont,5/31/17,380776,0,1,0,632.98,12.84996655
Tremont,6/30/17,378899,0,1,0,632.98,12.84502496
Tremont,7/31/17,389691,0,1,0,645.51,12.8731094
Tremont,8/31/17,402046,0,1,0,645.51,12.90432179
Tremont,9/30/17,416677,0,1,0,645.51,12.94006662
Tremont,10/31/17,426646,0,1,0,651.54,12.96370991
Tremont,11/30/17,432891,0,1,0,651.54,12.97824124
Tremont,12/31/17,431372,0,1,0,651.54,12.97472611
Tremont,1/31/18,425280,0,1,0,658.62,12.96050305
Tremont,2/28/18,417129,0,1,0,658.62,12.94115081
Tremont,3/31/18,413390,0,1,0,658.62,12.93214674
Tremont,4/30/18,409808,0,1,0,666.45,12.92344404
Tremont,5/31/18,414743,0,1,0,666.45,12.93541433
Tremont,6/30/18,419222,0,1,0,666.45,12.94615589
Tremont,7/31/18,421713,0,1,0,677.69,12.95208027
Tremont,8/31/18,423486,0,1,0,677.69,12.95627573
Tremont,9/30/18,422399,0,1,0,677.69,12.95370564
Tremont,10/31/18,417811,1,1,1,678.06,12.94278446
Tremont,11/30/18,401367,1,1,1,678.06,12.9026315
Tremont,12/31/18,391081,1,1,1,678.06,12.87666998
Tremont,1/31/19,393830,1,1,1,683.57,12.88367462
Tremont,2/28/19,410595,1,1,1,683.57,12.92536261
Tremont,3/31/19,434726,1,1,1,683.57,12.98247123
Tremont,4/30/19,450984,1,1,1,694.65,13.01918714
Tremont,5/31/19,458700,1,1,1,694.65,13.03615168
Tremont,6/30/19,464386,1,1,1,694.65,13.04847138
Tremont,7/31/19,473442,1,1,1,704.93,13.06778469
Tremont,8/31/19,484864,1,1,1,704.93,13.09162372
Tremont,9/30/19,487477,1,1,1,704.93,13.09699839
Tremont,10/31/19,490470,1,1,1,712.41,13.10311939
Tremont,11/30/19,498796,1,1,1,712.41,13.11995247
Tremont,12/31/19,512193,1,1,1,712.41,13.14645679
Tremont,1/31/20,523009,1,1,1,719.08,13.16735395
Tremont,2/29/20,526626,1,1,1,719.08,13.1742459
Tremont,3/31/20,517533,1,1,1,719.08,13.15682857
Tremont,4/30/20,516123,1,1,1,724.91,13.15410039
Tremont,5/31/20,520034,1,1,1,724.91,13.16164947
Tremont,6/30/20,525585,1,1,1,724.91,13.17226721
Tremont,7/31/20,515688,1,1,1,736.83,13.15325721
Tremont,8/31/20,497444,1,1,1,736.83,13.11723827
Tremont,9/30/20,481202,1,1,1,736.83,13.08404242
Tremont,10/31/20,474574,1,1,1,752.77,13.07017284
Tremont,11/30/20,478908,1,1,1,752.77,13.07926379
Tremont,12/31/20,484479,1,1,1,752.77,13.09082937
Tremont,1/31/21,497371,1,1,1,770.8,13.11709151
Tremont,2/28/21,499090,1,1,1,770.8,13.12054172
Tremont,3/31/21,502113,1,1,1,770.8,13.12658047
Tremont,4/30/21,502618,1,1,1,797.68,13.12758572
Tremont,5/31/21,506128,1,1,1,797.68,13.13454488
Tremont,6/30/21,517193,1,1,1,797.68,13.15617139
Tremont,7/31/21,521874,1,1,1,838.79,13.16518146
Tremont,8/31/21,527860,1,1,1,838.79,13.17658638
Tremont,9/30/21,527130,1,1,1,838.79,13.17520248
Tremont,10/31/21,524638,1,1,1,857.97,13.17046378
Tremont,11/30/21,524831,1,1,1,857.97,13.17083158
Tremont,12/31/21,524292,1,1,1,857.97,13.16980406
Tremont,1/31/22,522759,1,1,1,857.97,13.16687583
Tremont,2/28/22,519092,1,1,1,857.97,13.15983641
Tremont,3/31/22,516109,1,1,1,857.97,13.15407326
Wakefield,1/31/14,355207,0,0,0,560.89,12.780456
Wakefield,2/28/14,353286,0,0,0,560.89,12.77503321
Wakefield,3/31/14,354570,0,0,0,560.89,12.77866107
Wakefield,4/30/14,354144,0,0,0,566.5,12.77745889
Wakefield,5/31/14,354458,0,0,0,566.5,12.77834514
Wakefield,6/30/14,352504,0,0,0,566.5,12.77281725
Wakefield,7/31/14,352709,0,0,0,574.93,12.77339863
Wakefield,8/31/14,353340,0,0,0,574.93,12.77518605
Wakefield,9/30/14,353592,0,0,0,574.93,12.77589899
Wakefield,10/31/14,354017,0,0,0,578.17,12.77710021
Wakefield,11/30/14,355258,0,0,0,578.17,12.78059957
Wakefield,12/31/14,358191,0,0,0,578.17,12.78882164
Wakefield,1/31/15,362888,0,0,0,583.66,12.80184953
Wakefield,2/28/15,364466,0,0,0,583.66,12.80618855
Wakefield,3/31/15,363143,0,0,0,583.66,12.80255198
Wakefield,4/30/15,363257,0,0,0,588.35,12.80286585
Wakefield,5/31/15,365166,0,0,0,588.35,12.80810732
Wakefield,6/30/15,369548,0,0,0,588.35,12.82003592
Wakefield,7/31/15,373510,0,0,0,593.52,12.83070006
Wakefield,8/31/15,374159,0,0,0,593.52,12.83243612
Wakefield,9/30/15,374520,0,0,0,593.52,12.83340049
Wakefield,10/31/15,371654,0,0,0,594.33,12.82571859
Wakefield,11/30/15,373421,0,0,0,594.33,12.83046175
Wakefield,12/31/15,376798,0,0,0,594.33,12.83946451
Wakefield,1/31/16,377723,0,0,0,597.55,12.8419164
Wakefield,2/29/16,378635,0,0,0,597.55,12.84432796
Wakefield,3/31/16,378855,0,0,0,597.55,12.84490883
Wakefield,4/30/16,381923,0,0,0,607.1,12.8529743
Wakefield,5/31/16,383572,0,0,0,607.1,12.85728263
Wakefield,6/30/16,386306,0,0,0,607.1,12.86438508
Wakefield,7/31/16,387682,0,0,0,615.42,12.86794069
Wakefield,8/31/16,389851,0,0,0,615.42,12.87351989
Wakefield,9/30/16,392032,0,0,0,615.42,12.87909875
Wakefield,10/31/16,394358,0,0,0,620.86,12.88501441
Wakefield,11/30/16,396385,0,0,0,620.86,12.89014124
Wakefield,12/31/16,397131,0,0,0,620.86,12.89202148
Wakefield,1/31/17,397961,0,0,0,622.68,12.89410929
Wakefield,2/28/17,399905,0,0,0,622.68,12.8989823
Wakefield,3/31/17,400429,0,0,0,622.68,12.90029175
Wakefield,4/30/17,402603,0,0,0,632.98,12.90570624
Wakefield,5/31/17,406067,0,0,0,632.98,12.91427345
Wakefield,6/30/17,412940,0,0,0,632.98,12.93105758
Wakefield,7/31/17,418516,0,0,0,645.51,12.9444704
Wakefield,8/31/17,421472,0,0,0,645.51,12.95150862
Wakefield,9/30/17,424831,0,0,0,645.51,12.95944672
Wakefield,10/31/17,427912,0,0,0,651.54,12.96667285
Wakefield,11/30/17,431201,0,0,0,651.54,12.97432962
Wakefield,12/31/17,432253,0,0,0,651.54,12.97676634
Wakefield,1/31/18,435694,0,0,0,658.62,12.98469544
Wakefield,2/28/18,437693,0,0,0,658.62,12.98927303
Wakefield,3/31/18,443339,0,0,0,658.62,13.00208999
Wakefield,4/30/18,445831,0,0,0,666.45,13.00769524
Wakefield,5/31/18,449390,0,0,0,666.45,13.01564639
Wakefield,6/30/18,449712,0,0,0,666.45,13.01636266
Wakefield,7/31/18,450202,0,0,0,677.69,13.01745165
Wakefield,8/31/18,450267,0,0,0,677.69,13.01759602
Wakefield,9/30/18,448262,0,0,0,677.69,13.01313316
Wakefield,10/31/18,445516,1,0,0,678.06,13.00698844
Wakefield,11/30/18,446395,1,0,0,678.06,13.00895949
Wakefield,12/31/18,447706,1,0,0,678.06,13.01189205
Wakefield,1/31/19,452822,1,0,0,683.57,13.02325439
Wakefield,2/28/19,457743,1,0,0,683.57,13.03406317
Wakefield,3/31/19,462633,1,0,0,683.57,13.04468936
Wakefield,4/30/19,465377,1,0,0,694.65,13.05060311
Wakefield,5/31/19,467319,1,0,0,694.65,13.05476739
Wakefield,6/30/19,471422,1,0,0,694.65,13.06350894
Wakefield,7/31/19,473547,1,0,0,704.93,13.06800645
Wakefield,8/31/19,473936,1,0,0,704.93,13.06882757
Wakefield,9/30/19,474046,1,0,0,704.93,13.06905964
Wakefield,10/31/19,475703,1,0,0,712.41,13.07254899
Wakefield,11/30/19,477925,1,0,0,712.41,13.0772091
Wakefield,12/31/19,480342,1,0,0,712.41,13.08225363
Wakefield,1/31/20,485381,1,0,0,719.08,13.09268943
Wakefield,2/29/20,488499,1,0,0,719.08,13.0990927
Wakefield,3/31/20,487858,1,0,0,719.08,13.09777966
Wakefield,4/30/20,487193,1,0,0,724.91,13.09641563
Wakefield,5/31/20,488503,1,0,0,724.91,13.09910089
Wakefield,6/30/20,494107,1,0,0,724.91,13.11050737
Wakefield,7/31/20,496879,1,0,0,736.83,13.11610181
Wakefield,8/31/20,499446,1,0,0,736.83,13.12125476
Wakefield,9/30/20,502040,1,0,0,736.83,13.12643508
Wakefield,10/31/20,504418,1,0,0,752.77,13.13116057
Wakefield,11/30/20,506102,1,0,0,752.77,13.13449351
Wakefield,12/31/20,505413,1,0,0,752.77,13.1331312
Wakefield,1/31/21,507911,1,0,0,770.8,13.13806151
Wakefield,2/28/21,512755,1,0,0,770.8,13.14755343
Wakefield,3/31/21,518881,1,0,0,770.8,13.15942985
Wakefield,4/30/21,522907,1,0,0,797.68,13.16715891
Wakefield,5/31/21,523519,1,0,0,797.68,13.1683286
Wakefield,6/30/21,525051,1,0,0,797.68,13.17125068
Wakefield,7/31/21,526878,1,0,0,838.79,13.1747243
Wakefield,8/31/21,531795,1,0,0,838.79,13.18401336
Wakefield,9/30/21,535157,1,0,0,838.79,13.19031544
Wakefield,10/31/21,539281,1,0,0,857.97,13.19799205
Wakefield,11/30/21,542000,1,0,0,857.97,13.20302128
Wakefield,12/31/21,544758,1,0,0,857.97,13.20809694
Wakefield,1/31/22,547607,1,0,0,857.97,13.21331316
Wakefield,2/28/22,550990,1,0,0,857.97,13.21947194
Wakefield,3/31/22,555298,1,0,0,857.97,13.22726019