Region,Month,Y,time,treated,DID,NYHPI
Tremont,1/31/14,330287,0,1,0,560.89
Tremont,2/28/14,330670,0,1,0,560.89
Tremont,3/31/14,331483,0,1,0,560.89
Tremont,4/30/14,331971,0,1,0,566.5
Tremont,5/31/14,332009,0,1,0,566.5
Tremont,6/30/14,332288,0,1,0,566.5
Tremont,7/31/14,333929,0,1,0,574.93
Tremont,8/31/14,334239,0,1,0,574.93
Tremont,9/30/14,332756,0,1,0,574.93
Tremont,10/31/14,329277,0,1,0,578.17
Tremont,11/30/14,323687,0,1,0,578.17
Tremont,12/31/14,317080,0,1,0,578.17
Tremont,1/31/15,317976,0,1,0,583.66
Tremont,2/28/15,321576,0,1,0,583.66
Tremont,3/31/15,327787,0,1,0,583.66
Tremont,4/30/15,330914,0,1,0,588.35
Tremont,5/31/15,333412,0,1,0,588.35
Tremont,6/30/15,337440,0,1,0,588.35
Tremont,7/31/15,342251,0,1,0,593.52
Tremont,8/31/15,344095,0,1,0,593.52
Tremont,9/30/15,347013,0,1,0,593.52
Tremont,10/31/15,346006,0,1,0,594.33
Tremont,11/30/15,350639,0,1,0,594.33
Tremont,12/31/15,356764,0,1,0,594.33
Tremont,1/31/16,359005,0,1,0,597.55
Tremont,2/29/16,359434,0,1,0,597.55
Tremont,3/31/16,358406,0,1,0,597.55
Tremont,4/30/16,362803,0,1,0,607.1
Tremont,5/31/16,368643,0,1,0,607.1
Tremont,6/30/16,376511,0,1,0,607.1
Tremont,7/31/16,382470,0,1,0,615.42
Tremont,8/31/16,387350,0,1,0,615.42
Tremont,9/30/16,389336,0,1,0,615.42
Tremont,10/31/16,392695,0,1,0,620.86
Tremont,11/30/16,393310,0,1,0,620.86
Tremont,12/31/16,396199,0,1,0,620.86
Tremont,1/31/17,394639,0,1,0,622.68
Tremont,2/28/17,396886,0,1,0,622.68
Tremont,3/31/17,392785,0,1,0,622.68
Tremont,4/30/17,387789,0,1,0,632.98
Tremont,5/31/17,380776,0,1,0,632.98
Tremont,6/30/17,378899,0,1,0,632.98
Tremont,7/31/17,389691,0,1,0,645.51
Tremont,8/31/17,402046,0,1,0,645.51
Tremont,9/30/17,416677,0,1,0,645.51
Tremont,10/31/17,426646,0,1,0,651.54
Tremont,11/30/17,432891,0,1,0,651.54
Tremont,12/31/17,431372,0,1,0,651.54
Tremont,1/31/18,425280,0,1,0,658.62
Tremont,2/28/18,417129,0,1,0,658.62
Tremont,3/31/18,413390,0,1,0,658.62
Tremont,4/30/18,409808,0,1,0,666.45
Tremont,5/31/18,414743,0,1,0,666.45
Tremont,6/30/18,419222,0,1,0,666.45
Tremont,7/31/18,421713,0,1,0,677.69
Tremont,8/31/18,423486,0,1,0,677.69
Tremont,9/30/18,422399,0,1,0,677.69
Tremont,10/31/18,417811,0,1,0,678.06
Tremont,11/30/18,401367,0,1,0,678.06
Tremont,12/31/18,391081,0,1,0,678.06
Tremont,1/31/19,393830,0,1,0,683.57
Tremont,2/28/19,410595,0,1,0,683.57
Tremont,3/31/19,434726,0,1,0,683.57
Tremont,4/30/19,450984,0,1,0,694.65
Tremont,5/31/19,458700,0,1,0,694.65
Tremont,6/30/19,464386,0,1,0,694.65
Tremont,7/31/19,473442,0,1,0,704.93
Tremont,8/31/19,484864,0,1,0,704.93
Tremont,9/30/19,487477,0,1,0,704.93
Tremont,10/31/19,490470,0,1,0,712.41
Tremont,11/30/19,498796,0,1,0,712.41
Tremont,12/31/19,512193,1,1,1,712.41
Tremont,1/31/20,523009,1,1,1,719.08
Tremont,2/29/20,526626,1,1,1,719.08
Tremont,3/31/20,517533,1,1,1,719.08
Tremont,4/30/20,516123,1,1,1,724.91
Tremont,5/31/20,520034,1,1,1,724.91
Tremont,6/30/20,525585,1,1,1,724.91
Tremont,7/31/20,515688,1,1,1,736.83
Tremont,8/31/20,497444,1,1,1,736.83
Tremont,9/30/20,481202,1,1,1,736.83
Tremont,10/31/20,474574,1,1,1,752.77
Tremont,11/30/20,478908,1,1,1,752.77
Tremont,12/31/20,484479,1,1,1,752.77
Tremont,1/31/21,497371,1,1,1,770.8
Tremont,2/28/21,499090,1,1,1,770.8
Tremont,3/31/21,502113,1,1,1,770.8
Tremont,4/30/21,502618,1,1,1,797.68
Tremont,5/31/21,506128,1,1,1,797.68
Tremont,6/30/21,517193,1,1,1,797.68
Tremont,7/31/21,521874,1,1,1,838.79
Tremont,8/31/21,527860,1,1,1,838.79
Tremont,9/30/21,527130,1,1,1,838.79
Tremont,10/31/21,524638,1,1,1,857.97
Tremont,11/30/21,524831,1,1,1,857.97
Tremont,12/31/21,524292,1,1,1,857.97
Tremont,1/31/22,522759,1,1,1,857.97
Tremont,2/28/22,519092,1,1,1,857.97
Tremont,3/31/22,516109,1,1,1,857.97